Path,Date,Commit Count
refs/tags/3.9.0-RC1,2020-05-08,3
refs/tags/4.1.0-beta1,2020-05-15,55
refs/tags/2.10.21,2020-05-17,1
refs/tags/4.0.8,2020-05-23,19
refs/tags/3.9.0-RC2,2020-05-24,1
refs/tags/4.1.0-RC1,2020-05-31,59
refs/tags/2.10.22,2020-06-06,1
refs/tags/3.8.13,2020-06-19,3
refs/tags/3.9.0,2020-06-20,3
refs/tags/4.1.0-RC2,2020-06-21,1
refs/tags/4.0.9,2020-06-22,3
refs/tags/4.1.0,2020-07-04,46
refs/tags/4.1.1,2020-07-18,39
refs/tags/3.9.1,2020-07-26,3
refs/tags/4.1.2,2020-08-08,33
refs/tags/4.1.3,2020-08-15,22
refs/tags/3.9.2,2020-08-29,2
refs/tags/4.1.4,2020-09-05,8
refs/tags/4.1.5,2020-10-04,44
refs/tags/3.9.3,2020-10-05,1
refs/tags/4.2.0-beta1,2020-11-01,158
refs/tags/4.1.6,2020-11-07,26
refs/tags/3.9.4,2020-11-14,11
refs/tags/2.10.23,2020-11-28,1
refs/tags/4.2.0-RC1,2020-11-29,4
refs/tags/4.0.10,2020-12-07,2
refs/tags/4.1.7,2020-12-12,1
refs/tags/2.10.24,2020-12-15,1
refs/tags/4.2.0,2020-12-20,13
refs/tags/4.2.1,2020-12-26,30
refs/tags/3.9.5,2020-12-28,1
refs/tags/4.2.2,2021-01-06,28
refs/tags/3.9.6,2021-01-23,5
refs/tags/4.2.3,2021-01-24,3
refs/tags/4.2.4,2021-02-27,38
refs/tags/3.9.7,2021-03-06,12
refs/tags/3.9.8,2021-03-09,9
refs/tags/3.10.0-RC1,2021-03-27,7
refs/tags/4.2.5,2021-04-02,7
refs/tags/3.9.9,2021-04-24,6
refs/tags/4.2.6,2021-05-05,33
refs/tags/3.9.10,2021-05-30,6
refs/tags/4.2.7,2021-06-16,17
refs/tags/3.10.0,2021-06-19,6
refs/tags/4.2.8,2021-07-16,12
refs/tags/4.2.9,2021-09-10,28
refs/tags/4.3.0-RC1,2021-09-12,9
refs/tags/4.3.0-RC2,2021-09-26,114
refs/tags/4.3.0-RC3,2021-10-06,69
refs/tags/4.2.10,2021-10-13,4
refs/tags/4.3.0-RC4,2021-10-16,11
refs/tags/4.3.0,2021-10-23,47
refs/tags/3.10.1,2021-10-29,2
refs/tags/4.3.1,2021-11-06,8
refs/tags/4.3.2,2021-11-26,39
refs/tags/3.10.2,2021-12-12,6
refs/tags/4.3.3,2021-12-17,41
refs/tags/4.3.4,2022-01-14,18
refs/tags/4.3.5,2022-02-04,22
refs/tags/4.3.6,2022-03-04,36
refs/tags/4.4.0-RC1,2022-03-19,23
refs/tags/4.3.7,2022-03-25,3
refs/tags/4.3.8,2022-04-22,47
refs/tags/3.10.3,2022-05-08,2
refs/tags/4.3.9,2022-05-13,7
refs/tags/4.4.0-RC2,2022-05-14,1
refs/tags/3.10.4,2022-05-21,6
refs/tags/4.3.10,2022-06-02,8
refs/tags/4.4.0,2022-06-06,16
refs/tags/4.4.1,2022-06-13,30
refs/tags/4.4.2,2022-07-05,19
refs/tags/4.4.3,2022-07-26,45
refs/tags/4.4.4,2022-08-07,14
refs/tags/4.4.5,2022-08-28,31
refs/tags/4.4.6,2022-10-01,46
refs/tags/4.4.7,2022-10-29,30
refs/tags/4.4.8,2022-12-01,31
