Release,Date,Author Count,Commit Count
CakePHP 3.3.16 released,2017-04-07T02:04:27+00:00,0,0
CakePHP 2.9.8 Released,2017-04-22T01:26:39+00:00,0,0
CakePHP 3.4.6 released,2017-05-03T01:34:22+00:00,0,0
CakePHP 3.4.7 released,2017-05-20T03:32:05+00:00,0,0
CakePHP 2.9.9 Released,2017-05-26T01:15:23+00:00,0,0
CakePHP 3.4.8 released,2017-06-20T01:04:40+00:00,0,0
CakePHP 3.4.9 released,2017-06-26T02:03:42+00:00,0,0
,2017-06-27T02:02:00+00:00,0,0
CakePHP 3.4.10 released,2017-07-10T01:29:15+00:00,0,0
CakePHP 3.4.11 released,2017-07-19T01:43:54+00:00,0,0
CakePHP 2.10.0 Released,2017-07-22T19:06:53+00:00,0,0
CakePHP 3.5.0-RC1 released,2017-07-27T01:49:43+00:00,0,0
CakePHP 3.4.12 released,2017-08-02T01:15:12+00:00,0,0
CakePHP 2.10.1 Released,2017-08-08T01:21:35+00:00,0,0
CakePHP 3.5.0-RC2 released,2017-08-12T01:09:41+00:00,0,0
CakePHP 3.4.13 released,2017-08-17T03:06:44+00:00,0,0
CakePHP 3.5.0 released,2017-08-19T01:20:13+00:00,0,0
CakePHP 3.5.1 released,2017-08-29T01:29:25+00:00,0,0
CakePHP 2.10.2 Released,2017-08-30T01:19:36+00:00,0,0
CakePHP 3.5.2 released,2017-09-12T01:49:28+00:00,0,0
CakePHP 2.10.3 Released,2017-09-18T02:12:29+00:00,0,0
CakePHP 3.5.3 released,2017-09-27T01:53:08+00:00,0,0
CakePHP 3.5.4 released,2017-10-16T02:25:27+00:00,0,0
CakePHP 2.10.4 Released,2017-10-19T01:54:49+00:00,0,0
CakePHP 3.5.5 released,2017-11-02T01:05:43+00:00,0,0
CakePHP 3.5.6 released,2017-11-18T01:33:26+00:00,0,0
CakePHP 2.10.5 Released,2017-11-21T02:09:55+00:00,0,0
CakePHP 3.5.7 released,2017-12-06T02:34:18+00:00,0,0
CakePHP 3.5.8 released,2017-12-12T02:12:32+00:00,0,0
CakePHP 2.10.6 Released,2017-12-19T02:15:48+00:00,0,0
CakePHP 3.5.9 released,2017-12-27T01:49:22+00:00,0,0
CakePHP 3.5.10 released,2017-12-29T01:44:26+00:00,0,0
CakePHP 2.10.7 Released,2018-01-20T23:55:27+00:00,0,0
CakePHP 3.5.11 released,2018-01-21T00:04:21+00:00,0,0
CakePHP 3.5.12 released,2018-02-11T02:39:23+00:00,0,0
CakePHP 3.5.13 released,2018-03-04T01:58:53+00:00,0,0
CakePHP 3.6.0-beta1 released,2018-03-05T01:32:40+00:00,0,0
CakePHP 3.6.0-beta2 released,2018-03-12T01:29:26+00:00,0,0
CakePHP 3.6.0-beta3 released,2018-03-18T01:53:38+00:00,0,0
CakePHP 3.5.14 released,2018-03-20T01:08:53+00:00,0,0
CakePHP 3.6.0-RC1 released,2018-03-25T02:00:17+00:00,0,0
CakePHP 3.6.0-RC2 released,2018-04-02T02:06:27+00:00,0,0
CakePHP 3.5.15 released,2018-04-14T17:20:49+00:00,0,0
CakePHP 3.6.0 released,2018-04-15T02:01:30+00:00,0,0
CakePHP 3.6.1 released,2018-04-20T01:11:49+00:00,0,0
CakePHP 3.6.2 released,2018-04-28T02:02:20+00:00,0,0
CakePHP 2.10.10 Released,2018-05-12T02:06:44+00:00,0,0
CakePHP 3.6.3 released,2018-05-13T23:20:49+00:00,0,0
CakePHP 3.6.4 released,2018-05-21T00:47:41+00:00,0,0
CakePHP 3.4.14 released,2018-05-21T01:19:34+00:00,0,0
CakePHP 3.5.17 released,2018-05-21T01:31:33+00:00,0,0
CakePHP 3.6.5 released,2018-06-10T01:39:25+00:00,0,0
CakePHP 3.6.6 released,2018-06-25T01:58:31+00:00,0,0
CakePHP 2.10.11 Released,2018-07-01T19:05:15+00:00,0,0
CakePHP 3.6.7 released,2018-07-08T18:02:23+00:00,0,0
CakePHP 3.6.8 released,2018-07-24T01:28:34+00:00,0,0
CakePHP 3.6.9 released,2018-07-26T01:36:34+00:00,0,0
CakePHP 3.6.10 released,2018-08-05T01:44:02+00:00,0,0
CakePHP 3.6.11 released,2018-09-03T01:33:56+00:00,0,0
CakePHP 2.10.12 Released,2018-09-03T16:37:15+00:00,0,0
CakePHP 3.6.12 released,2018-10-02T01:46:03+00:00,0,0
CakePHP 3.7.0-beta1 released,2018-10-11T01:21:25+00:00,0,0
CakePHP 3.7.0-RC1 released,2018-10-25T02:04:40+00:00,0,0
CakePHP 2.10.13 Released,2018-10-28T02:01:42+00:00,0,0
CakePHP 3.6.13 released,2018-11-04T20:29:27+00:00,0,0
CakePHP 3.7.0-RC2 released,2018-11-17T01:39:58+00:00,0,0
CakePHP 3.7.0-RC3 released,2018-11-26T01:19:40+00:00,0,0
CakePHP 3.6.14 released,2018-12-07T03:21:25+00:00,0,0
